digraph dag {
	0	 [kernel=copy];
	3	 [kernel=apply];
	0 -> 3	 [x=1];
	4	 [kernel=apply];
	0 -> 4	 [x=1];
	1	 [kernel=copy];
	1 -> 3	 [x=2];
	1 -> 4	 [x=2];
	5	 [kernel=apply];
	1 -> 5	 [x=2];
	2	 [kernel=copy];
	2 -> 4	 [x=3];
	2 -> 5	 [x=3];
	6	 [kernel=copy];
	3 -> 6	 [x=1];
	7	 [kernel=copy];
	4 -> 7	 [x=2];
	8	 [kernel=copy];
	5 -> 8	 [x=3];
	9	 [kernel=apply];
	6 -> 9	 [x=1];
	10	 [kernel=apply];
	6 -> 10	 [x=1];
	7 -> 9	 [x=2];
	7 -> 10	 [x=2];
	11	 [kernel=apply];
	7 -> 11	 [x=2];
	8 -> 10	 [x=3];
	8 -> 11	 [x=3];
	12	 [kernel=copy];
	9 -> 12	 [x=1];
	13	 [kernel=copy];
	10 -> 13	 [x=2];
	14	 [kernel=copy];
	11 -> 14	 [x=3];
	15	 [kernel=apply];
	12 -> 15	 [x=1];
	16	 [kernel=apply];
	12 -> 16	 [x=1];
	13 -> 15	 [x=2];
	13 -> 16	 [x=2];
	17	 [kernel=apply];
	13 -> 17	 [x=2];
	14 -> 16	 [x=3];
	14 -> 17	 [x=3];
}
